bébé	CP	NOM
bec	CE1	NOM
bêche	CE2	NOM
belge	CE1	NOM/ADJ
bénédiction	CE2	NOM
bénéfice	CM1	NOM
bénir	CM1	VER
berceau	CM1	NOM
berger	CE2	NOM
besogne	CE2	NOM
besoin	CM1	NOM
bétail	CM2	NOM
bête	CE2	NOM/ADJ
betterave	CM2	NOM
beurre	CE2	NOM
bien	CE1	ADV/ADV/NOM
bienfait	CM1	NOM
bienfaiteur	CM1	NOM/ADJ
bienheureux	CM1	ADJ
bientôt	CE2	ADV
bienvenu	CM2	ADJ/NOM
bière	CM2	NOM
bijou	CM1	NOM
bille	CE1	NOM
billet	CE2	NOM
bise	CE1	NOM
blanc	CE2	ADJ/NOM
blancheur	CE1	NOM
blanchir	CE1	VER
blé	CE1	NOM
blessure	CM1	NOM
bleu	CE1	NOM/ADJ
bleuet ou bluet	CM1	NOM
bloc	CM1	NOM
blond	CM1	NOM/ADJ
blouse	CE2	NOM
boeuf	CE2	NOM
boire	CE1	VER
bois	CE1	NOM
boisson	CE2	NOM
boiteux	CM2	ADJ
bon	CE1	ADJ/ADV/NOM
bonbon	CE2	NOM
bond	CM2	NOM
bondir	CE1	VER
bonheur	CE2	NOM
bonhomme	CM1	NOM
bonjour	CE1	NOM
bonne	CP	NOM
bonnet	CM1	NOM
bonsoir	CM1	NOM
bonté	CE2	NOM
bord	CE1	NOM
border	CM2	VER
bordure	CE1	NOM
borne	CE1	NOM
bosquet	CM1	NOM
bossu	CM1	ADJ
botte	CE1	NOM
bouche	CP	NOM
boucher	CM1	NOM/VER
boucle	CE1	NOM
boucler	CM1	VER
bouder	CM1	VER
boue	CE2	NOM
boueux	CM2	ADJ
bouger	CM1	VER
bougie	CE2	NOM
boulanger	CE2	NOM
boulangerie	CE2	NOM
boule	CE1	NOM
bouquet	CE2	NOM
bourdonnement	CM1	NOM
bourgeon	CM1	NOM
bourse	CE2	NOM
bout	CM1	NOM
bouteille	CE2	NOM
boutique	CE1	NOM
bouton	CE1	NOM
branche	CP	NOM
bras	CE1	NOM
brave	CP	NOM/ADJ
bravo	CM1	NOM
brebis	CE2	NOM
bref	CE2	ADJ/ADV
brin	CM1	NOM
brindille	CM2	NOM
brique	CP	NOM
brise	CE1	NOM
briser	CE2	VER
brochure	CE2	NOM
broder	CM1	VER
brouillard	CM2	NOM
brouter	CM1	VER
broyer	CM1	VER
bruit	CE2	NOM
brume	CE1	NOM
brumeux	CM1	ADJ
brun	CE2	NOM/ADJ
brusque	CE2	ADJ
brusquement	CM1	ADV
brut	CM2	ADJ
brutal	CE2	ADJ
buisson	CM1	NOM
bureau	CE2	NOM
but	CM1	NOM
butiner	CM2	VER
c	Outil	PRO
cabane	CE2	NOM
cabine	CE1	NOM
cache-cache	CM1	NOM
cacher	CE2	VER
cadavre	CE2	NOM
cadeau	CE2	NOM
cadet	CM1	NOM/ADJ
cadran	CM1	NOM
cadre	CE1	NOM
café	CP	NOM
cage	CP	NOM
cahier	CE1	NOM
caisse	CE2	NOM
calcul	CE1	NOM
calculer	CE2	VER
calendrier	CM1	NOM
calice	CM1	NOM
calme	CE2	NOM/ADJ
calmer	CM1	VER
camarade	CM1	NOM
camion	CE2	NOM
camp	CM2	NOM
campagne	CE1	NOM
canal	CE1	NOM
canard	CE1	NOM
canif	CE2	NOM
canne	CM1	NOM
canon	CE1	NOM
cantique	CE2	NOM
capable	CE2	ADJ
capitaine	CE2	NOM
capital	CE2	NOM/ADJ
caprice	CM1	NOM
car	CE2	NOM/CON
carabine	CE1	NOM
caractère	CM1	NOM
carnet	CE2	NOM
carotte	CM2	NOM
carré	CE2	NOM/ADJ
carreau	CM2	NOM
carrière	CM2	NOM
cartable	CE2	NOM
carte	CP	NOM
carton	CP	NOM
cas	CM1	NOM
casquette	CM1	NOM
casser	CM2	VER
cause	CE2	NOM
causer	CM1	VER
cave	CP	NOM
caverne	CE1	NOM
ce	Outil	PRO
ceci	CM1	PRO
cela	CM1	PRO
céleste	CM1	ADJ
celui-ci	CM1	PRO
celle-ci	CM1	PRO
cendre	CM2	NOM
cent	CM1	NOM/ADJ/DET
centaine	CM1	NOM
centime	CE2	NOM
centimètre	CM1	NOM
centre	CM1	NOM
cercle	CE2	NOM
cérémonie	CM2	NOM
cerf	CM2	NOM
cerise	CM1	NOM
cerisier	CM1	NOM
certain	CM2	ADJ/PRO/DET
ces	Outil	DET
cesser	CM2	VER
cet	Outil	DET
cette	Outil	DET
ceux	CM1	PRO
chacun	CE2	PRO
chagrin	CE2	NOM
chair	CM1	NOM
chaise	CE2	NOM
chaleur	CP	NOM
chambre	CP	NOM
chameau	CE2	NOM
champ	CM1	NOM
chance	CM1	NOM
changement	CE2	NOM
changer	CM1	VER
chanson	CE1	NOM
chant	CE1	NOM
chanter	CE2	VER
chanteur	CP	NOM
chantre	CE1	NOM
chapeau	CE1	NOM
chapelet	CM1	NOM
chapelle	CE2	NOM
chapitre	CM1	NOM
chaque	CE1	DET
charbon	CE1	NOM
charbonnage	CM1	NOM
charge	CE1	NOM
charger	CM1	VER
charitable	CE1	ADJ
charité	CE2	NOM
charmant	CM1	ADJ
charme	CP	NOM
charmer	CE2	VER
chasse	CE1	NOM
chasser	CM1	VER
chasseur	CE1	NOM
chat	CP	NOM
château	CM1	NOM
chaud	CE2	ADJ
chaudement	CE1	ADV
chauffage	CM1	NOM
chauffer	CM1	VER
chauffeur	CM1	NOM
chaume	CE2	NOM
chaumière	CE2	NOM
chaussée	CM1	NOM
chausser	CM1	VER
chaussure	CM1	NOM
chef	CE1	NOM
chemin	CP	NOM
cheminée	CP	NOM
chemise	CE1	NOM
chêne	CM2	NOM
cher	CE2	ADJ/ADV
chercher	CE1	VER
chéri	CM1	ADJ/NOM
chérir	CM1	VER
cheval	CP	NOM
chevalier	CE1	NOM
chevelure	CE1	NOM
chèvre	CM1	NOM
chez	CM2	PRE
chien	CE1	NOM
chiffon	CM1	NOM
chiffre	CM1	NOM
choc	CM1	NOM
chocolat	CE2	NOM
choisir	CE2	VER
choix	CM1	NOM
chose	CE2	NOM
chute	CE2	NOM
ciel	CE2	NOM
cigarette	CM1	NOM
cimetière	CM1	NOM
cinéma	CM1	NOM
cinq	CE2	DET
cinquante	CM1	DET
circulation	CM1	NOM
circuler	CM2	VER
cirque	CE2	NOM
cité	CM2	NOM
clair	CM1	ADJ/ADV
clairière	CM1	NOM
clairon	CE2	NOM
claquer	CM1	VER
clarté	CM1	NOM
classe	CP	NOM
classique	CM1	ADJ/NOM
clef ou clé	CM1	NOM
clément	CM1	ADJ
client	CE2	NOM/ADJ
climat	CM1	NOM
cloche	CE1	NOM
clocher	CE2	NOM
clochette	CE2	NOM
clou	CE1	NOM
clouer	CM1	VER
cochon	CE1	NOM
coeur	CP	NOM
coffre	CM2	NOM
coffret	CM2	NOM
coiffer	CM1	VER
coiffure	CM1	NOM
coin	CE1	NOM
colère	CM1	NOM
collection	CM1	NOM
colline	CM1	NOM
colonel	CM1	NOM
colonial	CM2	ADJ/NOM
colorer	CE2	VER
combat	CM1	NOM
combien	CE1	ADV/CON/NOM
comble	CE2	NOM
combler	CM2	VER
commande	CM1	NOM
comme	CE1	CON/ADV
commencement	CM1	NOM
commencer	CM2	VER
comment	CE2	ADV/NOM/CON
commerce	CM1	NOM
commun	CE2	ADJ
commune	CE1	NOM
communion	CM1	NOM
compagne	CE1	NOM
compagnie	CE2	NOM
compagnon	CE1	NOM
comparaison	CM2	NOM
comparer	CE2	VER
complet	CM1	ADJ/NOM
complètement	CM2	ADV
compliment	CE2	NOM
compliquer	CM1	VER
composer	CM2	VER
composition	CM1	NOM
comprendre	CE2	VER
conclure	CM1	VER
conduire	CE2	VER
conduite	CE1	NOM
conférence	CM1	NOM
confiance	CM1	NOM
confier	CM1	VER
confiture	CE1	NOM
confondre	CE2	VER
conformément	CM1	ADV
confrère	CE1	NOM/ADJ
congé	CM1	NOM
congrès	CM1	NOM
consacrer	CM2	VER
conseil	CM1	NOM
conserver	CM1	VER
considérable	CM1	ADJ
consolation	CE2	NOM
consoler	CM1	VER
constant	CM2	ADJ
constater	CM1	VER
constituer	CM1	VER
construction	CE2	NOM
construire	CM1	VER
consulter	CM2	VER
conte	CE2	NOM
contenir	CE1	VER
content	CM1	ADJ
contentement	CM1	NOM
contenter	CM1	VER
contenu	CE1	NOM/ADJ
continuel	CM2	ADJ
continuellement	CE2	ADV
continuer	CE2	VER
contraire	CM1	ADJ/NOM
contrarier	CM1	VER
contre	CE1	PRE/ADV
contrée	CM1	NOM
contribuer	CE2	VER
convenable	CE2	ADJ
convenir	CE1	VER
conversation	CE2	NOM
convertir	CM1	VER
conviction	CM1	NOM
copier	CE2	VER
coq	CE2	NOM
coquet	CM1	ADJ
coquille	CM1	NOM
corbeau	CE2	NOM
corbeille	CE2	NOM
corde	CE1	NOM
cordial	CM2	ADJ
cordialement	CM1	ADV
cordonnier	CM2	NOM
corne	CE2	NOM
corniche	CE1	NOM
corps	CM2	NOM
correction	CM1	NOM
corridor	CM2	NOM
corriger	CM2	VER
cortège	CE2	NOM
costume	CP	NOM
côte	CM1	NOM
côté	CE2	NOM
coton	CE2	NOM
cou	CE2	NOM
couche	CP	NOM
coucher	CE2	NOM/VER
coucou	CE1	NOM
coude	CE1	NOM
coudre	CE2	VER
couler	CE2	VER
couleur	CE1	NOM
couloir	CM1	NOM
coup	CM1	NOM
coupable	CE1	ADJ/NOM
coupe	CE1	NOM
couper	CE1	VER
