extérieures;CM1;ADJ
facile;CM1;ADJ
faciles;CM1;ADJ
fameuse;CM1;ADJ
fameuses;CM1;ADJ
fameux;CM1;ADJ
farouche;CE2;ADJ
farouches;CE2;ADJ
fatal;CM1;ADJ
fatale;CM1;ADJ
fatales;CM1;ADJ
fatals;CM1;ADJ
favorable;CE2;ADJ
favorables;CE2;ADJ
féroce;CM2;ADJ
féroces;CM2;ADJ
fier;CE2;ADJ
fière;CE2;ADJ
fières;CE2;ADJ
fiers;CE2;ADJ
fine;CE2;ADJ
fines;CE2;ADJ
fixe;CE2;ADJ
fixes;CE2;ADJ
formidable;CE1;ADJ
formidables;CE1;ADJ
fragile;CM1;ADJ
fragiles;CM1;ADJ
fraiche;CM1;ADJ
fraiches;CM1;ADJ
frais;CM1;ADJ
franche;CE2;ADJ
franches;CE2;ADJ
froide;CE1;ADJ
froides;CE1;ADJ
fruitier;CM1;ADJ
fruitière;CM1;ADJ
fruitières;CM1;ADJ
fruitiers;CM1;ADJ
furieuse;CM1;ADJ
furieuses;CM1;ADJ
furieux;CM1;ADJ
future;CE1;ADJ
futures;CE1;ADJ
généreuse;CM1;ADJ
généreuses;CM1;ADJ
généreux;CM1;ADJ
gentil;CM2;ADJ
gentille;CM2;ADJ
gentilles;CM2;ADJ
gentils;CM2;ADJ
glissant;CM1;ADJ
glissante;CM1;ADJ
glissantes;CM1;ADJ
glissants;CM1;ADJ
gracieuse;CM2;ADJ
gracieuses;CM2;ADJ
gracieux;CM2;ADJ
grandiose;CM1;ADJ
grandioses;CM1;ADJ
grave;CE2;ADJ
graves;CE2;ADJ
gris;CE1;ADJ
grise;CE1;ADJ
grises;CE1;ADJ
grossier;CM2;ADJ
grossière;CM2;ADJ
grossières;CM2;ADJ
grossiers;CM2;ADJ
héroïque;CM1;ADJ
héroïques;CM1;ADJ
heureuse;CM1;ADJ
heureuses;CM1;ADJ
heureux;CM1;ADJ
honorable;CM2;ADJ
honorables;CM2;ADJ
honteuse;CM1;ADJ
honteuses;CM1;ADJ
honteux;CM1;ADJ
humble;CM1;ADJ
humbles;CM1;ADJ
humide;CM1;ADJ
humides;CM1;ADJ
idéale;CM2;ADJ
idéales;CM2;ADJ
illustre;CE2;ADJ
illustres;CE2;ADJ
immobile;CM1;ADJ
immobiles;CM1;ADJ
important;CM1;ADJ
importante;CM1;ADJ
importantes;CM1;ADJ
importants;CM1;ADJ
imposant;CM2;ADJ
imposante;CM2;ADJ
imposantes;CM2;ADJ
imposants;CM2;ADJ
